Knesset_Num,Committee_Name,Committee_Protocol_Num,Date,Member_Name,Speaking_Times,Avg_Neutral,Avg_Positive,Avg_Negative
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,בצלאל סמוטריץ',0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,עודד פורר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,טל רוסו,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אנטאנס שחאדה,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אלעזר שטרן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,עפר שלח,3,0.858011007,0.139388756,0.002600207
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,רם שפע,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,עאידה תומא סלימאן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,מכלוף מיקי זוהר,17,0.954973936,0.044246736,0.000779335
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אלי אבידר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,יואב בן צור,1,0.987564743,0.00991394,0.002521345
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,ניר ברקת,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אסף זמיר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אחמד טיבי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אורי מקלב,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אופיר סופר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,שלמה קרעי,2,0.99548167,0.004320129,0.000198207
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,פנינה תמנו,9,0.981735302,0.017476063,0.000788646
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אבי גבאי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,איתן גינזבורג,4,0.883829951,0.115897637,0.000272413
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,יוראי להב הרצנו,6,0.95492968,0.04497492,9.54E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אוסאמה סעדי,5,0.998799348,0.000865177,0.000335468
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אורלי פרומן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,עיסאווי פריג',0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אנטאנס שחאדה,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,אלעזר שטרן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,5,28/05/2019,איציק שמולי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,מכלוף מיקי זוהר,189,0.944559573,0.053520535,0.001919887
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אלי אבידר,1,0.908638537,0.085463069,0.005898504
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,יואב בן צור,3,0.857624193,0.082313906,0.060061901
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,ניר ברקת,3,0.999530931,0.0003557,0.000113368
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,צבי האוזר,24,0.982268244,0.015818436,0.001913333
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אופיר סופר,3,0.859662811,0.139948781,0.000388395
